trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
50,30,6,4,0.4,0.4,286.59,106.164,53.335,84.646,67.434,36.354,43.802,43.19,43.36,48.409,81.3284,0.0412538647651672
50,50,6,4,0.4,0.4,287.696,107.005,53.455,83.966,68.203,37.294,44.839,42.697,42.69,48.018,81.5863,0.039614782333374
50,None,6,4,0.4,0.4,289.583,106.797,53.1,83.413,66.574,36.825,43.878,42.609,43.508,47.055,81.3342,0.0403692817687988
100,10,6,4,0.4,0.4,288.204,105.714,52.921,84.344,66.988,36.808,43.921,43.041,42.838,46.706,81.1485,0.0785768604278564
100,30,6,4,0.4,0.4,288.53,105.9,53.133,84.897,67.066,36.708,43.905,42.77,42.767,47.392,81.3068,0.0786416339874268
100,50,6,4,0.4,0.4,290.774,105.931,53.209,84.578,66.098,36.88,44.797,42.977,42.05,47.14,81.4434,0.0785567569732666
100,None,6,4,0.4,0.4,288.568,105.748,53.065,85.227,67.378,36.188,44.498,43.201,42.323,47.029,81.3225,0.0789753079414368
10,10,8,4,0.4,0.4,282.01,106.316,54.103,86.721,70.255,39.351,46.598,49.427,46.869,51.843,83.3493,0.0103406453132629
10,30,8,4,0.4,0.4,289.691,104.82,54.59,86.29,72.571,41.703,46.78,45.859,48.354,53.247,84.3905,0.0103411364555359
10,50,8,4,0.4,0.4,289.105,109.377,55.024,83.101,70.273,41.433,46.817,49.617,45.71,51.189,84.1646,0.0105853962898254
10,None,8,4,0.4,0.4,290.271,107.509,55.799,84.896,68.929,39.656,46.539,50.398,47.335,51.332,84.2664,0.0102837562561035
30,10,8,4,0.4,0.4,288.199,106.642,53.547,83.172,67.127,37.48,43.864,45.014,43.807,48.015,81.6867,0.0256887125968933
30,30,8,4,0.4,0.4,293.63,105.455,53.369,86.372,67.589,37.83,46.627,45.083,43.636,47.822,82.7413,0.0254429531097412
30,50,8,4,0.4,0.4,286.896,105.794,53.421,84.217,66.18,38.305,44.556,45.42,43.209,48.472,81.647,0.0256961488723755
30,None,8,4,0.4,0.4,292.631,107.384,53.123,81.479,67.674,35.904,43.698,44.392,42.69,48.595,81.757,0.0257427930831909
50,10,8,4,0.4,0.4,287.515,106.196,53.224,83.224,68.961,37.357,44.508,43.494,43.39,47.56,81.5429,0.0406953978538513
50,30,8,4,0.4,0.4,289.166,105.993,53.577,84.845,68.576,37.42,44.68,42.327,42.976,48.437,81.7997,0.0408996057510376
50,50,8,4,0.4,0.4,288.86,105.414,53.438,84.005,66.291,36.681,44.549,43.613,42.845,47.715,81.3411,0.0408477115631104
50,None,8,4,0.4,0.4,290.423,106.506,53.728,85.285,65.832,36.739,44.763,44.024,42.411,47.745,81.7456,0.0408967041969299
100,10,8,4,0.4,0.4,290.489,106.736,52.929,84.046,67.866,37.322,44.414,42.67,42.341,46.98,81.5793,0.0786587023735046
